,City,Title,Company,Location,Summary,Salary,Description
59,Austin,Data Engineer,Evariant,Nothing_found,"The Data Engineer will support our software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data...","Evariant


11 reviews","For the Data Engineer/Developer role, we are seeking individuals with strong experience with Data Engineering. The hire will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. The Data Engineer will support our software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects If you have a desire for continuous learning and are motivated by solving problems, you may be right for us! If you are a professional who enjoys providing exceptional results, we would like to hear from you!Implement Data Integration Strategies to Integrate Data to support Evariant eco system and support data Integration across Evariant productsDevelop and Implement Data Integration Strategies, data lake/warehouse processes and ETL jobs.Maintain security of HIPAA data while using it to power business decisions and analytics, as well as other customer facing systems.Train, assist and collaborate with Evariant analytics data team membersImplement a robust, comprehensive data architecture that supports the long-term objective of building tools to utilize large sets of data to improve health systems profitability and promote patient health.Collaborate with Clients on design items and validation of DataMart ETLImplement data quality tools within the data martsImplement small technical maintenance and operation improvements on Evariant’s data productsDevelop data pipeline to Migrate and maintain data across multiple databases using data integration technologies.Requirements: Bachelor's degree in Computer Science, Computer Engineering or equivalent experience. Masters PreferredTechnical Expertise in SQL, Java, PythonExperience working with Relational and NoSQL databases2+ years of ETL/data engineering work3+ years of professional software engineering2+ years of experience with TalendKnowledge of Snowflake/NetezzaExperience working with engineers and business analysts to solve data needsKnowledge about working with Salesforce and Salesforce Integration3+ years of experience working with health data or related analyticsExperience working with a data pipeline and ETL jobsExperience consuming and building RESTful APIsExperience working with Alteryx is a plusExperience working with AWS is a plusAbility to efficiently manage multiple work streams and analysesKnowledge about Salesforce and/or any CRM SystemsExtensive knowledge on Talend and Data Integration technologiesAbility to multi-task and prioritize effectively and Self-motivated, able to work independentlyProven ability to meet deadlines and Willingness to learn and expand knowledgeOrganizational skills, with strong attention to detailThis is a full time opportunity with our company and can be located in either our Bee Cave, TX office or our Farmington, CT office. Job Type: Full-timeExperience:Data Engineering: 3 years (Preferred)Python: 3 years (Preferred)Talend: 2 years (Preferred)Java: 3 years (Preferred)"
60,Austin,Research Scientist - Exercise Physiology,LVL Technologies,Nothing_found,"Oversight and execution of clinical trials, data collection,processing and analysis; We spend a lot of time discussing approaches to data problems and value...",LVL Technologies,"$40,000 - $60,000 a yearTemporary, ContractAbout usLVL Technologies is a digital health company that specializes in proprietary sensor platforms and deep machine learning to comprehensively measure the most important vital signs at the wrist (and elsewhere). We are venture backed by several of the largest strategic and financial investors in the industry.At LVL, we are revolutionizing the wearables industry by solving hard problems that bring new insights into health and wellness – starting with the first ever hydration monitor. We seek energetic, innovative thinkers to work with our growing team of passionate, driven, and forward-thinking revolutionaries. If you’re looking for real world experience applying cutting edge algorithms that make a real difference, then we have a spot for you.The data group at LVL is composed of friendly, practical, team oriented people with broad backgrounds and diverse skill sets. We spend a lot of time discussing approaches to data problems and value input from all members. We use the best available algorithms and methods to get the job done. If you see something in a scientific paper over the weekend, you might be trying to make it work on Monday morning.At LVL Technologies, you’ll not only make a difference quickly, having a direct effect on our success, you will also be able to grow and manage your career path. We provide access to development resources including e-learning courses, training programs, and support from our team of helpful industry experts.We also realize that very few people do their best work alone in a cubicle with a stiff chair using a 10 year old desktop with a tiny monochrome crt monitor, so we work with recruits to find the best environment in which to develop our next amazing product.Job DescriptionWe are looking for a Exercise Physiologist or Clinical Research Scientist who will be responsible for the development, execution and management of hydration related human trials in our state of the art research laboratory.Daily responsibilities include review and design of protocols; subject training; oversight and execution of clinical trials, data collection,processing and analysis; and more. You will be a key technical contributor to company projects/experiments/research that have a direct and meaning impact on human health and well being. In this role you will be expected to be a smart, passionate, and detail-oriented team player, willing to think outside the box and help cultivate an environment of continual improvement.Required Education and ExperienceRelevant BS (required) or MS (preferred) degreeMinimum of one year as successful research scientist, nurse, clinician or equivalentMust be a passionate, dependable team playerMust be detail oriented and organizedA positive attitude and being level-headed and calm as collecting data is hard and often fraught with problemsExcellent writing skillsDemonstrated strong analytical, organizational, creative problem solving and communication skillsAbility to succeed in a fast-paced, entrepreneurial environmentBasic knowledge of statisticsCompetency conducting patient interviewsJob Types: Full-time, Temporary, ContractSalary: $40,000.00 to $60,000.00 /yearExperience:clinical research or other relevant research: 1 year (Required)Education:Bachelor's (Required)Location:Austin, TX 78722 (Required)Work authorization:United States (Required)"
61,Austin,Senior Data Engineer,NarrativeDx,Nothing_found,For this position we are searching for a data engineer with experience architecting data processing pipelines and working alongside data scientists to adapt...,NarrativeDx,"NarrativeDx is expanding our software development team and we are looking for smart, talented engineers that have a history of getting products complete and in the hands of customers. For this position we are searching for a data engineer with experience architecting data processing pipelines and working alongside data scientists to adapt data models into production systems. The position requires experience developing web applications in python and experience deploying applications on AWS. This position will be involved with a wide variety of development tasks on the engineering team and will be the primary link between our research team and our application development team. Candidates must have experience with: python server application development, SQL databases and query optimization, and scaling data processing.
Requirements
B.S. in Computer Science/Engineering and 5 years of professional software development experience or equivalent.
3+ years experience with Python using Django or Flask
Experience with Python Celery or other task/job management frameworks
5+ years of experience in a software development environment
Experience with AWS services
Experience with data modeling techniques
3+ years experience with PostgreSQL or other SQL server
Nice to haves:
Experience with natural language processing
Experience with sentiment classification
Experience with computational linguistics
Benefits
NarrativeDx is a 6 year old company with VC backing. We have a great office in downtown Austin with good parking, a great healthcare package, 401K Match and flexible schedules. We are a small close-knit team where we have fun and work smart and we keep our team small by hiring smart experienced people!"
62,Seattle,"Data Engineer, Visualization",Big Fish Games,Nothing_found,Data modeling for data warehousing. The data engineering team is looking for a data engineer to provide insights and data visualizations for many of the...,"Big Fish Games


21 reviews","Life at Big Fish Games
Big Fish Games is an innovative developer and world-class publisher of a diverse portfolio of casual game franchises, including Big Fish Casino, Gummy Drop, Fairway Solitaire, Jackpot Magic Slots and Cooking Craze. Founded in 2002, we serve millions of players every day and are dedicated to providing players with the opportunity to play, connect, compete and discover anywhere and on any device. We are dedicated to enhancing life through exceptional play.
Our four core beliefs are what makes working at Big Fish Games unique. We believe in a work environment that:
Creates opportunities for impact
Shares a passion for challenge
Cultivates a spirit of creativity
Thrives through collaboration

Summary and Mission
The data engineering team is looking for a data engineer to provide insights and data visualizations for many of the business units at Big Fish Games. You will have the opportunity to become an expert in mobile free to play and PC gaming business by working closely with marketing, data scientist, game producers and studio general managers. If you have a passion for data and building a presentation layer which wows the business customers, come join our data engineering team at Big Fish Games!

Responsibilities
Develop the presentation layer for the data engineering team. This includes data visualizations, dashboards and reports for business customers
Work with business customers and stakeholders to capture their requirements for data solutions
Provide customer support and maintenance for existing reporting solutions
Build expertise in free to play gaming business to provide creative reporting solutions
Have a passion for learning and growing expertise in data visualizations.

Qualifications
At least 3 years of experience in the following skills
Tableau or similar data visualization tools
SQL
Programming or scripting (for example, python, powershell, java, or c#)
Database Management Systems (for example, SQL Server, Oracle, MySQL)
Problem-solving and good analytical skills
Requirements gathering
Bachelor’s degree or equivalent work experience in Information Systems or Computer Science
Preferred Qualifications
Data modeling for data warehousing
Development on big data platforms (for example Hadoop, Netezza, Teradata, AWS or Google Cloud Platform)
Big Fish Games is an equal opportunity employer. We bring unique talents together to build something special that’s why we welcome and encourage diversity in the workplace regardless of race, gender, religion, age, sexual orientation, gender identity, disability or veteran status."
63,Seattle,Research Analyst,Capital Pacific,Nothing_found,"Use 3rd party subscription tools to provide market data, research, and upcoming development information to other departments....",Capital Pacific,"Capital Pacific is a future-forward community with a dedicated human touch. We’re never satisfied with the status quo, so there’s continual focus on what’s next and how we can do it better. The Capital Pacific team has high expectations of ourselves and each other in a fully collaborative & committed environment.We have an opportunity for someone to join the team!Summary: An opportunity to develop your own knowledge in a fast past ever changing industry by providing research and analytics support to the company in order to gain and maintain a competitive advantage over competition. Monitor and track daily market activity and generate reports to disseminate market intelligence. Maintain and improve upon internal database and department processes. Field a variety of daily research requests including but not limited to, updating client contact information, researching ownership of properties, gathering data on specific properties, and reaching out to a variety of resources to gather requested intelligence. Providing assistance in any capacity to the department lead. Develop and maintain professional working relationships with not only other Capital Pacific employees but other industry professionals as well.Education and Experience: High school diploma, bachelor’s degree preferred, professional experience in real estate analysis, market research or related field.Typical Tasks- Use 3rd party subscription tools to provide market data, research, and upcoming development information to other departments.- Check local publications for recent closings and articles containing knowledge pertaining to the industry.- Support marketing to create blast platform and generate “click list” for brokers.- Maintain the most current information on credit ratings for specific tenants.- Provide documentation and research on specific tenants.- Provide support to other departments by fulfilling specific research requests.- Reach out to local government departments to gain knowledge of the area or information regarding a specific property.- Fulfill a variety of broker requests in a timely manner as they are requested.- Fulfill a variety of client requests in a timely manner as they are requested.- Update contact, property, and ownership information in the database.- Improve tools in the database.- Request ownership information from Title Company.- Maintain and update department “playbooks”.- May perform other duties as assigned.Knowledge, Skills, and AbilitiesReal estate knowledge is required. Intermediate Microsoft office and Adobe skills are required. Must be able to demonstrate savvy internet research skills. Must have the ability to understand and interpret information/data and condense it down into a concise and professional product. Must have the ability to manage tasks and time to provide a quality product in a timely manner. Must be efficient and organized. Must be detail oriented to maintain a high level of standards. Need to possess critical thinking and problem solving skills to navigate issues and acquire the desired outcome. Must have the ability to adhere to and improve upon the processes put in place to maintain workflow.Job Type: Full-timeEducation:High school or equivalent (Preferred)"
64,Seattle,Senior Data Scientist (Bellevue),zulily,Nothing_found,Data Science / Analytics. Conducts exploratory data analysis and prepares visualizations summarizing key features of the data....,"zulily


403 reviews","zulily is a retailer obsessed with bringing our customers something special every day. Unique products from up-and-coming brands are featured alongside favorites from top brands, including clothing, home decor, accessories, toys and gifts, giving customers something new to discover each morning at an incredible price. We are fast-paced, innovative and metric-driven, with a team passionate for delighting our customers. Whether you want to work with incredible product selection, develop smart marketing plans, help us in our pursuit of faster fulfillment, or do something else awesome in between, we have a place for you. With locations in Seattle, WA; Reno, NV; Columbus, OH and Bethlehem, PA, our team is excited to be changing the way people shop every day - and we are just getting started.
As a Data Scientist at zulily you’ll use statistical and machine learning techniques to better understand how customers engage with zulily’s web and mobile e-commerce platforms, and use that information to better allocate resources across zulily, from recommender systems informing the e-commerce site, to acquisition and lifecycle marketing processes, to operations. You’ll work with key stakeholders to crisply define business questions, success criteria, and deployment plans. You’ll use reproducible research techniques to create analytical data sets, conduct exploratory data analysis, select and engineer features, train, tune, and evaluate candidate models, distill and present findings, and create cloud-ready production and reference implementations.

What you will own, manage, and be accountable for:
 Develops accurate models for prediction and inference Constructs analytic data sets for both exploration and modeling Develops reproducible information products and modular, instrumented software Works with stakeholders to define business questions, success criteria, and model deployment plans. Checks in regularly with stakeholders during projects Conducts exploratory data analysis and prepares visualizations summarizing key features of the data Researches and adapts existing open source algorithms when possible, develops novel techniques when needed Provides guidance to software development engineers on production implementations Develops program plans and road maps for Data Science
QUALIFICATIONS
Minimum Education Level: Master’s Degree; Required Concentration: Statistics / Ops. Research / CS
Years of Equivalent Experience: 4 – 6 years working with real data sets in a for-profit, business setting.
Ability to distill and present complex concepts to a business audience
Scoping and managing medium to large sized projects
Experience with different algorithm families and experience selecting, applying, and measuring model performance in a for-profit setting
Strong background working with machine learning and optimization techniques in a for-profit setting
Proven history working of data integration with SQL, as well as within a statistical programming language such as R or Python in a for-profit setting
Understands and practices the application of best practices in reproducible research and software engineering
Strong expertise in all phases of the modeling pipeline on both desktop and distributed/cloud platforms in a for-profit setting
Strong working knowledge of classical statistics and knowledge of design of experiments
Experience with Spatial & Temporal Statistics
Demonstrated Exploratory Analysis and Visualization abilities in a for-profit setting
Solid experience at the Linux command line and with shell scripting
Experience automating applications in a distributed / parallel environment

Highly desirable candidates will offer:
PhD - Preferred Concentration: Data Science / Analytics
zulily is an Equal Opportunity Employer

zulily participates in E-Verify. zulily will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS) with information from each new employee's I-9 to confirm work authorization.

Federal law requires employers to provide reasonable accommodation to qualified individuals with disabilities. Please tell us if you require a reasonable accommodation to apply for a job. Examples of reasonable accommodation include making a change to the application process, providing documents in an alternate format, using a sign language interpreter, or using specialized equipment. You may reach us at (206) 388-0920."
75,Seattle,Data Engineer,Nintendo of America Inc.,Nothing_found,3+ years of quantitative and qualitative experience in building ETL data flows in Big Data Ecosystem. Prior experience with marketing data is preferred....,"Nintendo of America Inc.


153 reviews","Nintendo of America Inc.

The worldwide pioneer in the creation of interactive entertainment, Nintendo Co., Ltd., of Kyoto, Japan, manufactures and markets hardware and software for its Nintendo Switch ™ system and the Nintendo 3DS ™ family of portable systems. Since 1983, when it launched the Nintendo Entertainment System ™ , Nintendo has sold more than 4.5 billion video games and more than 710 million hardware units globally, including Nintendo Switch and the Nintendo 3DS family of systems, as well as the Game Boy ™ , Game Boy Advance, Nintendo DS ™ family of systems, Super NES ™ , Nintendo 64 ™ , Nintendo GameCube ™ , Wii ™ and Wii U ™ systems. It has also created industry icons that have become well-known, household names, such as Mario, Donkey Kong, Metroid, Zelda and Pokémon. A wholly owned subsidiary, Nintendo of America Inc., based in Redmond, Wash., serves as headquarters for Nintendo’s operations in the Americas. For more information about Nintendo, please visit the company’s website at http://www.nintendo.com .
DESCRIPTION OF DUTIES
This position will be responsible for building and growing customer data platform to enable data-driven targeting. You will have an opportunity to work and understand all aspects of the customer’s interaction with Nintendo including but not limited to purchase and play behaviors, interaction with web store, participation in subscriptions and loyalty programs etc. Part of a cross-functional team of data engineers, marketing, data scientists and analysts. Should be able to work with business customers in understanding the business requirements and implementing data solutions.
Build and operate stable, scalable data pipelines that cleanse, structure and integrate disparate big data sets into a readable and accessible format for end user analyses and targeting.
Develop quality framework to ensure delivery of high quality data and analyses to stakeholders.
Implement/improve version control, deployment strategies, notifications to ensure product quality, agility and recoverability.
Work with business customers in understanding the business requirements and implementing data solutions.
Manage small projects, hold stakeholder communication and ensure objectives are met.
SUMMARY OF REQUIREMENTS

3+ years of quantitative and qualitative experience in building ETL data flows in Big Data Ecosystem.
Hands-on knowledge on Hadoop, Hive, Presto, AWS platform, Redshift.
Hands-on knowledge in using advanced SQL queries (analytical functions), experience in writing and optimizing efficient SQL queries
Experience with scripting (Python experience is a strong plus).
Experienced in testing and monitoring data for anomalies and rectifying them.
Excellent communication skills to be able to work with business owners to develop and define key business uses and to build data sets that address them.
Experience in working with Data visualization tools such a Tableau is a plus.
Prior experience with marketing data is preferred.
Bachelor’s degree or equivalent in an engineering or technical field such as Computer Science, Physics, Mathematics, Statistics, Engineering or similar.
We are an equal opportunity employer of individuals with disabilities and protected veterans....valuing diversity…celebrating strengths."
76,Seattle,Data Scientist,Tacoma Power,Nothing_found,"Automating data retrieval. And data visualization design. Tacoma Power's Rates, Planning and Analysis (RPA) Section has an opportunity for a Data Scientist to...",Tacoma Power,"$105,747 - $135,636 a yearTacoma Power's Rates, Planning and Analysis (RPA) Section has an opportunity for a Data Scientist to join our team. This is a highly technical data science and modeling analyst position responsible for developing, integrating and automating financial, economic and statistical forecasting models; database design, construction and maintenance; and data visualization design.You will participate in analytical efforts across the utility, develop statistical and financial models, and help enhance and ensure the financial and economic rigor of Tacoma Power analyses. You will be an advocate for self-service analytics, good data governance and documentation, and model integrity and accuracy.As the team's data scientist, you will have the opportunity to help lay the foundation for customer analytics at Tacoma Power. The Rates and Financial Planning team runs a number of high-visibility models that impact the utility financials and help keep Tacoma Power cost effective for its customer-owners.The team is presently growing and retooling. Several modeling tools are being updated which will allow for refined business processes and new analytic capabilities.The culture of our team is very collaborative and supportive. We are highly skilled, self-motivated individuals that enjoy each other and believe in the work that we do.The ideal candidate is team-oriented, smart, professional, organized, self-motivated, positive, highly accurate and a life-long learner.If you have a strong background in data acquisition and report automation; if you love transforming data into actionable insights; if you want a challenging, visible role that will transform an organization and how we support our customers, this may be the role for you.Responsibilities include: Integrating existing modelsDesigning new data analysis modelsAutomating data retrievalFinancial and economic model redevelopmentDeveloping new load forecasting techniquesData visualization for technical documents and presentationsWorking on cross-functional teamsAd hoc analysis and problem solvingEducation: Bachelor degree in business, economics, mathematics, statistics, data modeling, information systems, computer science or related field and 5+ years' experience as a business analyst, data scientist or similar job function;MS or Ph.D degree related quantitative field can substitute for work experience.Experience: Experience with programming, modeling, statistics and data science required;Familiarity with economic modeling and financial modeling techniques highly desired;Experience delivering data science outcomes, solving complex analytical problems using quantitative approaches that apply a blend of analytical, mathematical and technical skills;Understanding of statistical and predictive modeling concepts, machine-learning approaches, clustering and classification techniques, and recommendation and optimization algorithms;Able to write own code as needed to customize solutions;Experience with developing forecasting models;Knowledge in predictive analytics using tools such as R, Python and SAS;Experience with SAP and high-level accounting principles highly desired;Integrate methods from mathematics, statistics, probability and uncertainty modeling in order to deliver predictive insights to decision-makers.Skills: Excellent communication skills and team-orientation required;Excel at making complex concepts accessible to others;Desire to solve business problems;Clear, organized and succinct writing skillsTake ownership of work and operate under minimal supervision;Deliver business insights and solve complex analytical problems using a blend of data visualization and storytelling skillsJob Type: Full-timeSalary: $105,747.00 to $135,636.00 /yearExperience:programming, modeling, statistics and data science: 1 year (Required)Education:Bachelor's (Required)"
78,Los+Angeles,"Manager, Data Integration & Analysis",Creative Talent,Nothing_found,"Data team, data integrity team and others as assigned. Work with the data team to coordinate and maintain data integrity procedures, processes, and policies...",Creative Talent,"$80,000 - $95,000 a yearOur client is a leader in the non-profit industry and we are seeking an experienced data integrity, analysis and reporting leader with experience in Raiser's Edge and ImportOMatic.POSITION SUMMARY: The Data and Integration Manager is the functional expert for system integration applications. The Manager is responsible for the development, implementation and coordination of an aggressive integration system that will focus on collecting, cleansing and disseminating accurate constituent data records.ESSENTIAL FUNCTIONS: Develop new and maintain existing data transfer processes and documentation from various systems into Raiser’s EdgeDevelop new and maintain existing Raiser’s Edge customization using the VBA/API.Develop, implement, maintain and perform data hygiene for postal addresses, email addresses, birthdays, deceased, constituent codes and other critical constituent attributesMaintain the organization’s data dictionaryDevelop, maintain and perform the monthly wealth screening of all new constituentsDevelop and maintain queries of various re-occurring and one-time-use mailing lists to support all email marketing campaignsWork with the data team to coordinate and maintain data integrity procedures, processes, and policies that efficiently enhance data integrity.Stay abreast of data integrity best practice processes, methods and technology tools.Remain current on new data capture and/or data privacy laws and the impact to the organizationMaintain detailed, consistent and sound communication systems with key department units affected by data integrity issuesCoordinate and maintain solid, communicative and consistent working relationships with Informational Technology staffWork within the data mainframe, update constituent records as needed in keeping with established policies and proceduresIdentify efficiencies in workflow and other processes for data pulls, queries, imports, analyses, etc.Quickly troubleshoot data integration issues, communicate with appropriate parties and ensure data is restoredBe an active participant on the following cross-functional teams: data team, data integrity team and others as assignedSupport the Reporting and Analysis staff on complex queries, reports and exportsWork closely with the Digital Marketing team to ensure new online forms are tested for accurate import of data, coding, source and other necessary field mapping.In partnership with Data, Reporting and Analysis leadership, develop recommendations for data governance and business rules that will lead to improvements in data quality, and follow those recommendations through to implementationResolve assigned help desk support ticketsOther projects as assignedQUALIFICATIONS AND REQUIREMENTS: The following are the minimum qualifications which an individual need in order to successfully perform the duties and responsibilities of this position.Four Year college degree in computer science or MIS related field or equivalent experience.A minimum of three years hands on work experience using Raiser’s Edge database and Luminate Online is required.Experience in using different Raiser’s Edge VBA/API and plugins such as MergeOmatic, ImportOmatic, and ZipFinder is required.Must be able to multi-task, work in a fast-paced office and work with multiple priorities and deadlines with accuracy.Advance skills in Microsoft Office applications, specifically Word, Excel, Access and OutlookSuccessful candidate should have the ability to communicate effectively, possess good organizational skills, and be able to work collaboratively in a team environment.Advanced knowledge of records management policies, procedures, and practices.Professional experience providing customer service.Ability to manage data within a complex database is required.Job Type: Full-timeSalary: $80,000.00 to $95,000.00 /yearExperience:Raiser's Edge: 5 years (Preferred)Visual Basic: 1 year (Preferred)Import-O-Matic: 1 year (Preferred)Microsoft Office: 1 year (Preferred)Education:Bachelor's (Preferred)Benefits offered:Paid time offHealth insuranceDental insuranceOther types of insurance"
79,Los+Angeles,Associate Scientist,CSL Behring,Nothing_found,Present experimental data at departmental or project meetings. Drafting of Protocols or Standard Operating Procedures (SOP) for the production of viral vector...,"CSL Behring


194 reviews","The Associate Scientist-Vector Engineering will be responsible for supporting production and purification of viral vectors for discovery research.
Responsibilities:
To perform viral vector production, concentration, and purification in support of exploratory and pipeline
Execute lentiviral vector production, characterization, and quantitation assays.
Support lentiviral vector purification and concentration development processes such as chromatography, formulation, filtration, and ultracentrifugation.
Support the cell line development activities such as culture, transfection, selection, and adaptation of mammalian cell lines.
Support management of inventory and database of viral vectors and cell lines.
Use molecular biology techniques (e.g., cloning, PCR) to generate DNA vectors.
Present experimental data at departmental or project meetings.
Working independently and as part of a team, perform experimental work and report results.
Drafting of Protocols or Standard Operating Procedures (SOP) for the production of viral vector or generation of cell lines for approval by Scientist and/or Senior Scientist and QA.
Performing routine maintenance on scientific instrumentation, as required. Liaising with instrument engineers for repair and maintenance of equipment
Ensuring critical instruments are calibrated and calibration records maintained.
Ensure that high safety standards are taken into account and adhered to as governed by local, state and federal regulations, laws and policies as well as CSL’s policies and directives.
Ordering of reagents and materials.
Qualifications:
BS in Life Sciences (Cell/Molecular Biology) or related discipline
2+ years of hands-on experience in viral vector production/characterization or cell line development and an understanding of viral vector technologies and retroviral genetics
Experience with cell culture and molecular biology techniques
Essential Skills, Knowledge & Attributes:
Ability to multitask and complete work on time.
Ability to contribute and work in a cross-functional, multi-disciplinary team environment.
Good verbal and written communication skills in English.
Well organised, able to plan work appropriately. Attention to detail. Mechanical aptitude and problem-solving skills.
Understanding of GLP/GMP regulatory requirements in pharmaceutical drug development.
Good working knowledge of Word Processing, Spreadsheets, and general PC familiarity and usage.
Experience in multicolour flow cytometry.
Familiarity with multicolour flow cytometry software and DNA sequence analysis/design software.
Experience in DNA and RNA isolation and manipulation (qPCR, RT-PCR, and recombinant DNA methods).
Worker Type:
Employee
Worker Sub Type:
Regular"
80,Los+Angeles,Scientist,Cell Care Therapeutics,Nothing_found,Data trending and data analysis. This Scientist position provides a unique opportunity to work alongside founding team members and play a critical role in the...,Cell Care Therapeutics,"Job Description:Cell Care Therapeutics is a funded preclinical stage biotech company engaged in the discovery and development of regenerative immunotherapies for patients suffering from inflammatory and degenerative neuro-vascular diseases of the eye. This Scientist position provides a unique opportunity to work alongside founding team members and play a critical role in the development of a biopharmaceutical program to develop novel first-in-class regenerative therapeutics.Specific Job Duties:Major duties include but are not limited to:Work with a cross-functional team to design, execute and document analytical method development in support of process development, product release and stability, and product characterizationDevelopment of cell-based potency assays, analytical test methods, and new analytical technologiesExecution of routine testing for analytical qualification from established test methods and SOPsExecute method development qualification and participate in transferring cell-based potency to external partnersData trending and data analysisWriting technical reports, protocols, andMaintaining accurate laboratory notebook and relevant documentation, and working within the quality systems at Cell CareRequirements:PhD or post-doctoral experience in molecular biology, cell biology, immunology, biochemistry or a related fieldExtensive experience in cell culture, cell-based and biochemical assaysPreferably experience in stem cell biology, signal transduction, inflammation pathways, immune responsePreferably experience in gene expression analysis, microscopy, flow cytometry, protein biochemistryAbility to identify, evaluate and implement advanced methodologies applicable to MOA studiesEffective at working on several projects at once and adapt to changing project directionsAbility to drive new approaches and utilize out-of-the-box thinking to contribute to problem solvingDemonstrate the desire to learn, expand, and develop new skills in R&DStrong problem-solving skills and ability to manage work independentlyExcellent record keeping skillsExcellent oral and written communication skillsExcellent attention to detailEffective with working with others in a team settingGoal driven, results orientedJob Type: Full-time"
91,Los+Angeles,Statistical Analyst,LegalZoom,Nothing_found,Effectively retrieve data from sources such as Google Analytics (using BigQuery) and our proprietary data warehouse (using SQL)....,"LegalZoom


98 reviews","We rely on the numbers to make sound business decisions here at LegalZoom, so our Customer Insights and Analytics team is integral to keeping us on the right track. This team is obsessed with data analysis and getting the numbers right. There’s lots of Excel and SQL, and also Python and R, and plenty of cross-functional interaction with other business units, making analytics at LegalZoom anything but dry.
LegalZoom.com is seeking a Statistical Analyst to join our Customer Insights and Analytics team. The position will have the responsibility of providing support to a Sr. Statistical Analyst and to the Web Optimization team, collaborating in the design and analysis of A/B tests, drilling-down experimental data sets to address fundamental questions, and looking for business opportunities in the data. He or she will be capable to effectively communicating to stakeholders. We are looking for a highly-motivated individual who is analytical, is a critical thinker, loves data, is very motivated to learn about and support a variety of business functions.
What you’ll do:
Implement concepts of experimental design to address and solve Web Optimization problems.
Effectively retrieve data from sources such as Google Analytics (using BigQuery) and our proprietary data warehouse (using SQL).
Drill-down experimental data sets in order to understand results and address questions from stakeholders
Perform statistical procedures and data analysis using R or Python or equivalent tools
Deliver test insights to business owners
Develop familiarity and understand LegalZoom products and services
Create and maintain dashboards in Tableau
Assist in and develop data science projects
Qualifications:
B.A., preferably in Statistics, Economics, Mathematics, or equivalent in quantitative sciences
Highly analytical and quantitative, with strong attention to detail
Ability to thrive in a fast-paced, entrepreneurial environment with highly motivated team members
Ability to quickly and effectively build partnerships with stakeholders across the company
Exceptional communication skills and an ability to effectively present analyses to business partners
Strong interpersonal skills with focus on teamwork
Ability to manage multiple, competing priorities
3-4 years of work experience
Working knowledge of SQL, R or Python is required
Experience in applying standard parametric and non-parametric tests
Working knowledge of Tableau is a plus
Familiarity with PowerPoint and Excel
LegalZoom is an Equal Opportunity Employer, dedicated to diversity"
